Alpha,T1-1.0 m/s-VLM1-Inviscid, , 
          -10,    -0.8056967, , 
         -9.5,    -0.7662158, , 
           -9,    -0.7266125, , 
         -8.5,    -0.6868928, , 
           -8,    -0.6470629, , 
         -7.5,    -0.6071291, , 
           -7,    -0.5670976, , 
         -6.5,    -0.5269748, , 
           -6,     -0.486767, , 
         -5.5,    -0.4464806, , 
           -5,     -0.406122, , 
         -4.5,    -0.3656978, , 
           -4,    -0.3252142, , 
         -3.5,     -0.284678, , 
           -3,    -0.2440956, , 
         -2.5,    -0.2034736, , 
           -2,    -0.1628186, , 
         -1.5,    -0.1221371, , 
           -1,   -0.08143576, , 
         -0.5,   -0.04072119, , 
            0,             0, , 
          0.5,    0.04072119, , 
            1,    0.08143576, , 
          1.5,     0.1221371, , 
            2,     0.1628186, , 
          2.5,     0.2034736, , 
            3,     0.2440956, , 
          3.5,      0.284678, , 
            4,     0.3252142, , 
          4.5,     0.3656978, , 
            5,      0.406122, , 
          5.5,     0.4464806, , 
            6,      0.486767, , 
          6.5,     0.5269748, , 
            7,     0.5670976, , 
          7.5,     0.6071291, , 
            8,     0.6470629, , 
          8.5,     0.6868928, , 
            9,     0.7266125, , 
          9.5,     0.7662158, , 
           10,     0.8056967, , 

